"var_name","t1_pooled","control","delib","delib_info","diff_d_c","diff_di_d","p.value.x","p.value.y"
"age",22,21.9529411764706,22.0975609756098,22,0.144619799139168,-0.0975609756097562,0.727569327979357,0.818705934611001
"female",0.5625,0.558139534883721,0.48780487804878,0.63265306122449,-0.0703346568349404,0.144848183175709,0.46431504943517,0.172608938878185
"kirkuk",0.767045454545455,0.790697674418605,0.75609756097561,0.73469387755102,-0.0346001134429949,-0.0214036834245893,0.670404727313214,0.818752316381224
"life_in_kirkuk",0.815286624203822,0.881578947368421,0.743589743589744,0.761904761904762,-0.137989203778677,0.0183150183150182,0.0899584944278791,0.850985283229892
"shia",0.0662650602409639,0.0714285714285714,0.0512820512820513,0.0697674418604651,-0.0201465201465201,0.0184853905784138,0.659753877500412,0.728937381665614
"sunni",0.807228915662651,0.785714285714286,0.82051282051282,0.837209302325581,0.0347985347985348,0.016696481812761,0.651885581817082,0.84366267212039
"kurd",0.388235294117647,0.493975903614458,0.25,0.319148936170213,-0.243975903614458,0.0691489361702128,0.00718872063995495,0.480724393631703
"arab",0.335294117647059,0.240963855421687,0.45,0.404255319148936,0.209036144578313,-0.0457446808510639,0.0272491592104594,0.671897751439076
"turk",0.264705882352941,0.240963855421687,0.3,0.276595744680851,0.0590361445783132,-0.0234042553191489,0.500875295350805,0.813082121689537
"cross_ethnic",3.75428571428571,3.75581395348837,4.24390243902439,3.33333333333333,0.488088485536018,-0.910569105691057,0.0131013803220071,0.00072870421883458
"d4_a",0.125,0.144578313253012,0.157894736842105,0.0638297872340425,0.0133164235890932,-0.0940649496080627,0.852651387661513,0.183586209820218
"d4_b",0.225433526011561,0.232558139534884,0.325,0.127659574468085,0.0924418604651163,-0.197340425531915,0.296560051027125,0.0311582473761626
"d4_c",0.211764705882353,0.25,0.236842105263158,0.125,-0.0131578947368421,-0.111842105263158,0.876725244966726,0.192247033434847
"d4_d",0.120481927710843,0.172839506172839,0.0975609756097561,0.0454545454545455,-0.0752785305630834,-0.0521064301552106,0.236107439594406,0.360852275722401
"d4_e",0.232558139534884,0.235294117647059,0.25,0.212765957446809,0.0147058823529412,-0.0372340425531915,0.860454843142421,0.686486966312661
"d4_f",0.255813953488372,0.25,0.292682926829268,0.234042553191489,0.0426829268292683,-0.0586403736377789,0.622017892675636,0.539826471369608
"d4_g",0.271084337349398,0.27710843373494,0.317073170731707,0.214285714285714,0.0399647369967676,-0.102787456445993,0.653345347199429,0.295327670739477
"d4_h",0.141176470588235,0.142857142857143,0.179487179487179,0.106382978723404,0.0366300366300366,-0.0731042007637752,0.618161880332418,0.34610911844039
